Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Sets,Reps,Picture
327,Plank - Gethin Variation,"The elbow plank is a popular isometric abdominal exercise. It is common in all types of exercise programs, as well as in group fitness and yoga classes. It targets the muscles of the core, the deep core or transversus abdominis in particular. It is also often prescribed for time to help back pain or to teach proper bracing.",Strength,Abdominals,Body Only,MEDIUM,3-4,12-15,8953ef6f-634d-4e72-bb9e-e2b6cf684bce.icegif-475.gif
578,MetaBurn Oblique Roll Crunch,,Strength,Abdominals,Body Only,MEDIUM,3-4,12-15,https://res.cloudinary.com/devthakur/image/upload/v1686929351/Exercises_Gif/gif_image_0008.gif
470,Holman Alternating Slow L-Raise,,Strength,Abdominals,Body Only,MEDIUM,3-4,12-15,anim-leg-raise.gif
362,HM Floor Wiper,,Strength,Abdominals,Body Only,MEDIUM,3-4,12-15,Half-Wipers.gif
265,Banded jumping jack,"The banded jumping jack takes a classic plyometric exercise and adds an extra degree of difficulty in the form of a band surrounding the thighs, just above the knees. It can be performed for time or reps and is a great way to warm up for athletics or lower-body lifting.",Strength,Abdominals,Body Only,MEDIUM,3-4,12-15,jumping-jacks-banded.gif
660,FYR2 Air Ball,,Strength,Abdominals,Exercise Ball,MEDIUM,3-4,12-15,pin.gif
506,Holman Hand-Elevated Side Plank Semicircle,,Strength,Abdominals,Body Only,MEDIUM,3-4,12-15,side-plank.gif
361,HM Floor Jack,,Strength,Abdominals,Body Only,MEDIUM,3-4,12-15,HM-Floor-Jack.gif
314,Hanging Leg Raise - Variation Gethin,"The hanging leg raise is an exercise targeting the abs and hip flexors. Instead of resting the forearms on the pads of apparatus, hang from a bar. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,Body Only,MEDIUM,3-4,12-15,hanging-leg-raise-movement.gif
90,Decline reverse crunch,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Strength,Abdominals,Other,MEDIUM,3-4,12-15,Reverse-Crunch-1.gif
